VI. Positive Comments,VII. Suggestions/Recommendations for Improvement
The best ang giveaways!,Decent ang certificates.
Highly recommended ang program!,Decent ang management.
Great lighting! worth it ang oras ko,Gubot ang certificates.
wonderful kaayo ang program!,Bati kaayo ang execution kay ang haba ng pila.
Ang excellent ng registration!,Pwede na ang games.
Perfect ang seating!,Gubot ang host.
Lingaw kaayo ang execution kay ang babait ng staff.,Terrible ang planning!
Lingaw kaayo ang seating kay lami ang pagkaon.,Medyo okay naman ang execution.
Great facilitators! lami ang pagkaon,Normal ra ang logistics.
Lingaw kaayo ang activities kay everything ran on time.,Pwede na ang aircon.
Ang brilliant ng flow!,Never again!
Lingaw kaayo ang management kay worth it ang oras ko.,Hindi maayos ang host. hinay ang mic
Great logistics! the host was funny,Complete waste of time. The aircon was disappointing.
10/10 ang giveaways!,Sayang ang sound system kay nawala ang kuryente.
Great snacks! limpyo ang lugar,Sayang ang aircon kay the speaker was boring.
incredible kaayo ang certificates!,Complete waste of time. The venue was bati.
Amazing ang sound system!,Terrible ang organizers!
Great event! naay daghang freebies,Never again sa games!
Sobrang lingaw ng venue!,Pwede na.
Sobrang superb ng host!,The execution was boring because disorganized flow.
Amazing ang speaker!,Okay ra ang giveaways.
Nalingaw jud ko sa certificates. limpyo ang lugar,Sayang ang food kay the speaker was boring.
10/10 ang execution!,Init kaayo sa snacks.
fabulous kaayo ang planning!,Sayang ang snacks kay saba ang palibot.
organized kaayo ang speaker!,Gubot ang event.
Solid ang facilitators!,Bati kaayo ang management kay started late.
10/10 ang planning!,Medyo okay naman ang seminar.
The flow was very fun!,Bati kaayo ang aircon kay saba ang palibot.
Ang superb ng execution!,Ang disappointing ng seating! the speaker was boring
Ang brilliant ng venue!,Awful ang discussion!
Sobrang fabulous ng aircon!,Average ang food. Met basic expectations.
Nalingaw jud ko sa giveaways. everything ran on time,Decent ang event.
Perfect ang registration!,Medyo okay naman ang program.
smooth kaayo ang aircon!,The discussion was okay. Nothing special.
Ang limpyo ng snacks!,Nakakabored ang aircon kasi saba ang palibot.
Lingaw kaayo ang logistics kay naay daghang freebies.,Okay ra ang management.
lingaw kaayo ang seminar!,Medyo okay naman ang facilitators.
Amazing ang seminar!,Hindi maayos ang lighting. walay makan-an
Lingaw kaayo ang organizers kay may natutunan ako.,Complete waste of time. The planning was horrible.
Great event! organized ang tanan,Sakto lang ang snacks.
nindot kaayo ang certificates!,The logistics was okay. Nothing special.
Amazing ang venue!,Sayang ang certificates kay hinay ang mic.
brilliant kaayo ang games!,The certificates was okay. Nothing special.
Solid ang prizes!,Terrible ang snacks!
Great!,Okay ra ang registration.
Highly recommended ang facilitators!,Average ang giveaways. Met basic expectations.
Nalingaw jud ko sa program. the host was funny,Gubot ang flow.
Lingaw kaayo ang seating kay limpyo ang lugar.,Complete waste of time. The giveaways was gubot.
Lingaw kaayo ang flow kay organized ang tanan.,Sakto lang ang organizers.
Perfect ang management!,Never again sa organizers!
Great prizes! the speaker was clear,Awful ang workshop!
Maayo kaayo ang food.,Decent ang giveaways.
Sobrang fabulous ng food!,Pwede na ang seminar.
Sobrang fun ng activities!,Sakto lang ang food.
Nalingaw jud ko sa prizes. ang babait ng staff,Awful ang host!
Great giveaways! lami ang pagkaon,Decent ang prizes.
Amazing ang activities!,Sakto lang ang facilitators.
Ang great ng program!,Init!
The best ang activities!,Could be better but acceptable.
Maayo kaayo ang discussion.,Average ang event. Met basic expectations.
The logistics was very brilliant!,Nakakabored ang activities kasi init kaayo.
Great certificates! lami ang pagkaon,Sakto lang ang sound system.
Great speaker! lami ang pagkaon,Sayang ang venue kay disorganized flow.
Lingaw kaayo ang logistics kay may natutunan ako.,Init kaayo sa seminar.
Sobrang great ng venue!,Sayang ang certificates kay disorganized flow.
Ang saya ng event!,Ang frustrating ng sound system! nawala ang kuryente
Ang saya ng prizes!,Init kaayo sa registration.
Perfect ang host!,Gubot ang venue.
Solid ang workshop!,Normal ra ang seating.
Sobrang outstanding ng facilitators!,Sayang ang host kay walay makan-an.
wonderful kaayo ang flow!,Sakto lang ang games.
Sobrang brilliant ng registration!,Okay ra ang logistics.
The best ang seating!,Nakakabored ang execution kasi started late.
Ang lingaw ng venue!,Init kaayo sa lighting.
Maayo kaayo ang prizes.,Hindi maayos ang event. saba ang palibot
Nalingaw jud ko sa event. may natutunan ako,Complete waste of time. The host was disappointing.
wonderful kaayo ang certificates!,Normal ra ang workshop.
Great sound system! worth it ang oras ko,Terrible ang lighting!
Sobrang superb ng planning!,Complete waste of time. The snacks was chaotic.
Solid ang activities!,Never again sa aircon!
The execution was very amazing!,Sayang ang sound system kay init kaayo.
Ang saya ng activities!,Okay.
organized kaayo ang host!,Decent ang execution.
Ang informative ng discussion!,Worst ang organizers!
Lingaw kaayo ang host kay may natutunan ako.,Normal ra ang food.
Lingaw kaayo ang prizes kay the speaker was clear.,The snacks was horrible because disorganized flow.
Highly recommended ang food!,Hindi maayos ang food. started late
perfect kaayo ang planning!,Sayang ang giveaways kay ang haba ng pila.
Sobrang engaging ng host!,Awful ang speaker!
Lingaw kaayo ang speaker kay may natutunan ako.,Normal ra ang event.
Ang smooth ng host!,The logistics was hinay because saba ang palibot.
Nalingaw jud ko sa games. may natutunan ako,Medyo okay naman ang discussion.
Maayo kaayo ang games.,The seating was disappointing because ang haba ng pila.
lingaw kaayo ang certificates!,Medyo okay naman ang workshop.
Maayo kaayo ang speaker.,Complete waste of time. The food was boring.
Sobrang engaging ng aircon!,Awful!
superb kaayo ang discussion!,Complete waste of time. The event was confusing.
Perfect ang planning!,Ang horrible ng facilitators! disorganized flow
Solid ang host!,Average ang logistics. Met basic expectations.
Sobrang brilliant ng speaker!,Complete waste of time. The registration was disappointing.
Solid ang aircon!,Ang poor ng registration! init kaayo
Nalingaw jud ko sa snacks. organized ang tanan,Never again sa food!
Nalingaw jud ko sa execution. organized ang tanan,Decent ang seminar.
Lingaw kaayo ang activities kay ang babait ng staff.,Never again sa giveaways!
Nindot!,Pwede na ang lighting.
Ang saya ng program!,Bati kaayo ang aircon kay hinay ang mic.
organized kaayo ang prizes!,The host was init because walay makan-an.
Solid ang games!,Okay ra ang speaker.
Highly recommended ang planning!,0/10!
Sobrang galing ng registration!,Sakto lang ang seating.
The best ang facilitators!,Complete waste of time. The host was bad.
Amazing ang facilitators!,Medyo okay naman ang prizes.
Perfect ang event!,The aircon was okay. Nothing special.
Perfect ang logistics!,Terrible ang seminar!
Maayo kaayo ang planning.,The organizers was okay. Nothing special.
The food was very fun!,Worst ang activities!
Nalingaw jud ko sa certificates. naay daghang freebies,Pwede na ang flow.
Amazing ang management!,Gubot ang logistics.
The speaker was very fun!,Bati kaayo ang registration kay saba ang palibot.
perfect kaayo ang games!,The facilitators was init because disorganized flow.
Highly recommended ang event!,Okay ra ang snacks.
Ang saya ng facilitators!,Normal ra ang certificates.
Sobrang lami ng flow!,Ang poor ng flow! the speaker was boring
Sobrang organized ng program!,Decent ang host.
The seminar was very smooth!,Decent ang speaker.
The seating was very brilliant!,Bati kaayo ang program kay disorganized flow.
Sobrang fabulous ng activities!,Decent ang aircon.
The facilitators was very fantastic!,Never again sa event!
The facilitators was very organized!,Meh.
Awesome!,Normal ra ang speaker.
Nalingaw jud ko sa venue. naay daghang freebies,Okay ra ang program.
The lighting was very informative!,Bati kaayo ang seminar kay saba ang palibot.
The aircon was very galing!,Average ang lighting. Met basic expectations.
Perfect ang program!,Never again sa management!
Amazing ang snacks!,Gubot ang organizers.
The registration was very limpyo!,Complete waste of time. The planning was unorganized.
Maayo kaayo ang host.,Sayang ang lighting kay nawala ang kuryente.
Ang saya ng lighting!,Complete waste of time. The games was disappointing.
The best ang games!,The registration was awful because gubot ang registration.
Perfect ang snacks!,Normal ra ang games.
The execution was very lami!,Medyo okay naman ang event.
Maayo kaayo ang aircon.,Never again sa seminar!
Nalingaw jud ko sa discussion. naay daghang freebies,Pwede na ang workshop.
Sobrang outstanding ng snacks!,The workshop was okay. Nothing special.
10/10 ang prizes!,Ang horrible ng management! hinay ang mic
Maayo kaayo ang execution.,Terrible ang host!
Great games! the host was funny,Sakto lang ang workshop.
Great registration! may natutunan ako,Horrible!
Maayo kaayo ang logistics.,Bati kaayo ang games kay saba ang palibot.
Maayo kaayo ang seating.,Pwede na ang prizes.
The best ang logistics!,Decent ang sound system.
10/10 ang workshop!,Worst ang games!
Maayo!,"It was fine. Not great, not terrible."
Nalingaw jud ko sa workshop. lami ang pagkaon,Awful ang activities!
Amazing ang giveaways!,Nakakabored ang speaker kasi ang haba ng pila.
Sobrang smooth ng execution!,Pwede na ang program.
Sobrang informative ng host!,Nakakabored ang event kasi saba ang palibot.
Nalingaw jud ko sa organizers. organized ang tanan,Gubot ang snacks.
Highly recommended ang lighting!,Complete waste of time. The seminar was horrible.
Sobrang outstanding ng workshop!,Sakto lang ang execution.
The best ang speaker!,Sakto lang ang aircon.
The best ang prizes!,Awful ang lighting!
Ang saya ng venue!,So-so.
The best ang event!,Terrible ang aircon!
Amazing ang aircon!,Sayang!
Lingaw kaayo ang organizers kay lami ang pagkaon.,Hindi maayos ang lighting. hinay ang mic
Solid ang registration!,Bati kaayo ang organizers kay ang haba ng pila.
Ang saya ng execution!,Awful ang seating!
Solid ang sound system!,Worst ang sound system!
Perfect ang workshop!,Awful ang flow!
Ang lami ng venue!,Medyo okay naman ang venue.
Ang saya ng certificates!,The program was hinay because init kaayo.
Great discussion! naay daghang freebies,The venue was mess because started late.
Lingaw kaayo ang registration kay may natutunan ako.,Terrible ang registration!
The workshop was very lami!,The management was okay. Nothing special.
Perfect!,Decent ang planning.
Lingaw kaayo ang execution kay limpyo ang lugar.,Pwede na ang giveaways.
Solid ang seating!,Never again sa workshop!
Lingaw kaayo ang host kay naay daghang freebies.,Worst ang host!
Sobrang informative ng venue!,Sayang ang activities kay hinay ang mic.
Ang limpyo ng aircon!,Worst ang seating!
Solid ang speaker!,Complete waste of time. The venue was hinay.
Sobrang galing ng organizers!,Awful ang food!
Ang great ng activities!,The seating was okay. Nothing special.
Highly recommended ang seminar!,Fine.
Nalingaw jud ko sa planning. the speaker was clear,Awful ang seminar!
The best ang management!,Ang poor ng prizes! started late
10/10 ang host!,The lighting was gubot because walay makan-an.
Amazing ang organizers!,Okay ra ang venue.
Lingaw kaayo ang games kay limpyo ang lugar.,Worst ang giveaways!
fun kaayo ang event!,Hindi maayos ang activities. gubot ang registration
The best ang registration!,Okay ra ang seating.
10/10 ang discussion!,Worst!
Ang nindot ng certificates!,Gubot ang workshop.
Great aircon! limpyo ang lugar,Sakto lang ang venue.
Perfect ang prizes!,Never again sa execution!
Highly recommended ang execution!,Sayang ang execution kay init kaayo.
Perfect ang flow!,Decent ang logistics.
Perfect ang venue!,Normal ra ang lighting.
Solid ang giveaways!,Sayang ang organizers kay the speaker was boring.
The workshop was very smooth!,Terrible ang management!
Great sound system! naay daghang freebies,Normal ra ang sound system.
Solid ang seminar!,Sayang ang lighting kay saba ang palibot.
Perfect ang giveaways!,Nakakabored ang activities kasi ang haba ng pila.
10/10 ang registration!,Ang bad ng registration! ang haba ng pila
Nalingaw jud ko sa flow. worth it ang oras ko,Complete waste of time. The program was poor.
superb kaayo ang lighting!,Decent ang program.
great kaayo ang discussion!,Normal ra ang activities.
Perfect ang certificates!,The organizers was frustrating because hinay ang mic.
Nalingaw jud ko sa prizes. the speaker was clear,Complete waste of time. The snacks was confusing.
The discussion was very organized!,Medyo okay naman ang seating.
superb kaayo ang certificates!,Bati kaayo ang logistics kay ang haba ng pila.
informative kaayo ang discussion!,Hindi maayos ang snacks. started late
Perfect ang food!,Sakto lang ang giveaways.
Great activities! everything ran on time,Medyo okay naman ang snacks.
Highly recommended ang sound system!,Terrible ang food!
Highly recommended ang workshop!,The registration was okay. Nothing special.
Lingaw!,Pwede na ang event.
Sobrang maayo ng program!,Init kaayo sa speaker.
The games was very ganda!,The registration was confusing because ang haba ng pila.
nindot kaayo ang flow!,Hindi maayos ang speaker. disorganized flow
Ang saya ng organizers!,Nakakabored ang sound system kasi walay makan-an.
The best ang venue!,Medyo okay naman ang flow.
Great games! naay daghang freebies,Normal ra ang registration.
Maayo kaayo ang certificates.,Worst ang management!
The management was very organized!,Hindi maayos ang speaker. the speaker was boring
Lingaw kaayo ang speaker kay limpyo ang lugar.,Hindi maayos ang execution. ang haba ng pila
10/10 ang organizers!,Okay ra ang sound system.
Lingaw kaayo ang flow kay limpyo ang lugar.,Okay ra ang workshop.
Ang saya ng speaker!,Sayang ang program kay the speaker was boring.
10/10 ang activities!,Pwede na ang management.
excellent kaayo ang venue!,Hindi maayos ang certificates. the speaker was boring
Ang fun ng organizers!,Init kaayo sa prizes.
Lingaw kaayo ang program kay worth it ang oras ko.,Medyo okay naman ang lighting.
10/10 ang food!,Gubot ang discussion.
Nalingaw jud ko sa snacks. worth it ang oras ko,Ang hinay ng planning! ang haba ng pila
Great games! organized ang tanan,Hindi maayos ang workshop. saba ang palibot
The discussion was very amazing!,The planning was okay. Nothing special.
Amazing ang workshop!,Gubot ang activities.
Highly recommended ang speaker!,Ang saba ng workshop! hinay ang mic
Sobrang lingaw ng registration!,Sakto lang ang planning.
The certificates was very informative!,Init kaayo sa facilitators.
Lingaw kaayo ang organizers kay everything ran on time.,Gubot ang lighting.
Solid ang flow!,Gubot!
maayo kaayo ang prizes!,Terrible ang execution!
Lingaw kaayo ang seminar kay the host was funny.,The flow was poor because init kaayo.
Maayo kaayo ang seminar.,Nakakabored ang giveaways kasi gubot ang registration.
The best ang workshop!,Bati kaayo ang program kay gubot ang registration.
Solid ang management!,Sayang ang execution kay hinay ang mic.
Highly recommended ang flow!,Pwede na ang planning.
Amazing ang lighting!,Sakto lang ang program.
Great seating! naay daghang freebies,Complete waste of time. The registration was confusing.
Nalingaw jud ko sa management. worth it ang oras ko,Ang unorganized ng flow! saba ang palibot
Maayo kaayo ang event.,Bati kaayo ang speaker kay gubot ang registration.
maayo kaayo ang planning!,Sakto lang ang speaker.
Amazing ang certificates!,Medyo okay naman ang planning.
Perfect ang sound system!,Never again sa flow!
Nalingaw jud ko sa games. everything ran on time,Worst ang program!
Ang smooth ng planning!,The certificates was confusing because init kaayo.
fun kaayo ang registration!,0/10 hindi na uulit.
Solid ang lighting!,Nakakabored ang games kasi gubot ang registration.
Highly recommended ang management!,Sakto.
Sobrang superb ng games!,Awful ang snacks!
brilliant kaayo ang seminar!,Hindi maayos ang sound system. ang haba ng pila
The execution was very wonderful!,Hindi maayos ang lighting. the speaker was boring
Solid ang logistics!,Never again sa planning!
Maayo kaayo ang facilitators.,Worst ang certificates!
Maayo kaayo ang snacks.,Terrible ang facilitators!
Lingaw kaayo ang certificates kay may natutunan ako.,Gubot ang registration.
galing kaayo ang workshop!,Gubot ang speaker.
Perfect ang organizers!,Terrible!
Ang ganda ng management!,Average ang aircon. Met basic expectations.
The best ang discussion!,Bati kaayo ang venue kay init kaayo.
10/10 ang program!,Init kaayo sa execution.
Perfect ang aircon!,Average ang seating. Met basic expectations.
Perfect ang discussion!,The flow was horrible because hinay ang mic.
Salamat!,Decent ang lighting.
Ang wonderful ng facilitators!,Gubot ang management.
Highly recommended ang logistics!,Ang horrible ng activities! nawala ang kuryente
The planning was very perfect!,Init kaayo sa giveaways.
Highly recommended ang discussion!,Never again sa activities!
10/10 ang logistics!,Bati kaayo ang snacks kay init kaayo.
Highly recommended ang giveaways!,Complete waste of time. The host was boring.
Maayo kaayo ang program.,Ang bati ng planning! hinay ang mic
Maayo kaayo ang sound system.,Worst ang planning!
Amazing ang planning!,Bati kaayo ang management kay ang haba ng pila.
Sobrang awesome ng event!,The execution was waste because ang haba ng pila.
Nalingaw jud ko sa flow. may natutunan ako,Sayang ang seminar kay hinay ang mic.
Sobrang informative ng food!,Worst ang execution!
The aircon was very amazing!,Pwede na ang facilitators.
Ang smooth ng giveaways!,The registration was terrible because hinay ang mic.
Ang saya ng sound system!,Sayang ang certificates kay nawala ang kuryente.
10/10 ang snacks!,Ang mess ng execution! walay makan-an
Highly recommended ang host!,Init kaayo sa program.
Lingaw kaayo ang discussion kay the host was funny.,Sakto lang ang prizes.
Sobrang superb ng flow!,Bati!
The food was very superb!,Sayang ang certificates kay ang haba ng pila.
Maayo kaayo ang venue.,Okay ra ang food.
Ang engaging ng giveaways!,The lighting was okay. Nothing special.
10/10 ang lighting!,The facilitators was okay. Nothing special.
10/10 ang aircon!,Bati kaayo ang logistics kay started late.
Nalingaw jud ko sa event. limpyo ang lugar,Awful ang organizers!
Nalingaw jud ko sa sound system. ang babait ng staff,The facilitators was unorganized because gubot ang registration.
Highly recommended ang prizes!,Ang gubot ng event! init kaayo
10/10!,Nakakabored ang workshop kasi started late.
Nalingaw jud ko sa program. lami ang pagkaon,Complete waste of time. The activities was bati.
Great event! may natutunan ako,Bati kaayo ang lighting kay hinay ang mic.
brilliant kaayo ang venue!,Bati kaayo ang snacks kay nawala ang kuryente.
Highly recommended ang games!,Bati kaayo ang registration kay init kaayo.
Ang lingaw ng prizes!,Okay ra ang planning.
The prizes was very wonderful!,Average ang discussion. Met basic expectations.
nindot kaayo ang planning!,Gubot ang food.
Solid ang organizers!,Nakakabored ang activities kasi hinay ang mic.
Sobrang engaging ng giveaways!,Awful ang aircon!
Nalingaw jud ko sa seating. lami ang pagkaon,Pwede na ang certificates.
Sobrang great ng certificates!,Sayang ang prizes kay the speaker was boring.
Nalingaw jud ko sa planning. naay daghang freebies,Worst ang lighting!
Sobrang ganda ng registration!,Hindi maayos ang event. gubot ang registration
The host was very excellent!,The venue was disorganized because walay makan-an.
Great giveaways! ang babait ng staff,Sakto lang ang host.
Highly recommended ang seating!,Ang unorganized ng seating! ang haba ng pila
Ang great ng sound system!,Sakto lang ang flow.
Ang saya ng logistics!,Worst ang discussion!
Amazing ang flow!,Ang init ng management! ang haba ng pila
Ang saya ng snacks!,Gubot ang execution.
Sobrang limpyo ng flow!,Complete waste of time. The management was gubot.
Sobrang awesome ng lighting!,Init kaayo sa organizers.
The host was very lingaw!,Sayang ang planning kay the speaker was boring.
engaging kaayo ang games!,Okay ra ang aircon.
Sobrang galing ng flow!,Medyo okay naman ang speaker.
Lingaw kaayo ang speaker kay naay daghang freebies.,Average ang organizers. Met basic expectations.
Great facilitators! ang babait ng staff,
Solid ang planning!,
Nalingaw jud ko sa lighting. the speaker was clear,
Great workshop! limpyo ang lugar,
Nalingaw jud ko sa lighting. organized ang tanan,
Ang saya ng workshop!,
Sobrang ganda ng sound system!,
The best ang execution!,
Maayo kaayo ang lighting.,
Maayo kaayo ang workshop.,
outstanding kaayo ang logistics!,
Great activities! the speaker was clear,
The execution was very fantastic!,
The snacks was very lami!,
Perfect ang facilitators!,
The discussion was very galing!,
Sobrang galing ng giveaways!,
10/10 ang sound system!,
Lingaw kaayo ang management kay naay daghang freebies.,
The best ang host!,
Superb!,
Amazing ang registration!,
Ang nindot ng lighting!,
Nalingaw jud ko sa seating. the speaker was clear,
Sobrang great ng event!,
Lingaw kaayo ang host kay the host was funny.,
Great seminar! the speaker was clear,
Nalingaw jud ko sa speaker. may natutunan ako,
Ang awesome ng logistics!,
10/10 ang certificates!,
Perfect ang seminar!,
Ang perfect ng registration!,
Great management! naay daghang freebies,
fun kaayo ang speaker!,
Ang saya ng aircon!,
Great registration! lami ang pagkaon,
Sobrang fabulous ng facilitators!,
Ang excellent ng snacks!,
The best ang organizers!,
The registration was very fantastic!,
Highly recommended ang activities!,
Great planning! naay daghang freebies,
Ang limpyo ng prizes!,
fantastic kaayo ang sound system!,
Ang lami ng flow!,
Ang excellent ng activities!,
The execution was very maayo!,
Ang engaging ng speaker!,
Solid ang food!,
Solid ang certificates!,
Ang saya ng giveaways!,
Amazing ang logistics!,
Perfect ang games!,
Sobrang fabulous ng seminar!,
Solid!,
Lingaw kaayo ang registration kay everything ran on time.,
The prizes was very lingaw!,
Nalingaw jud ko sa activities. the speaker was clear,
engaging kaayo ang registration!,
Great games! worth it ang oras ko,
Highly recommended ang registration!,
